"","label","wallet_id","txs_count","balance","total_received","total_sent","total_life","addresses_count","avg_incoming_tx_per_address","total_incoming_tx","fraction_unique_addr_count","wallet_alias","Min_sent","Max_sent","Avg_sent","Total_sent","Stdev_sent","Var_sent","Min_received","Max_received","Avg_received","Total_received","Stdev_received","Var_received"
"1119","blackmail","08685e9e2bd00278",14,0,13,1,26369529,9,1.44444444444444,13,1.55555555555556,"08685e9e2bd00278",5.4e-06,8.10194918,0.325653521,16.60832955,0,0,1.337e-05,7.60193647,0.156623729,16.60211529,0.800891081199097,0.641426523944258
"1120","blackmail","c24f9cf71acf288f",1,0.47930077,1,0,0,1,1,1,1,"c24f9cf71acf288f",0,0,0,0,0,0,0.2339042,0.52227,0.439401243,1.75760497,0,0
"1121","blackmail","c1c5156c215a2bd4",1,0.42614334,1,0,0,1,1,1,1,"c1c5156c215a2bd4",0,0,0,0,0,0,0.1688,0.48285634,0.34914992,1.39659968,0,0
"1122","blackmail","36aa0d0a8d0aa096",7,0,6,1,36659135,4,1.5,6,1.75,"36aa0d0a8d0aa096",0.00125672,3.9482047,0.463184524,13.89553571,0,0,0.0010465,3.03162277,0.231569078,13.8941447,0.488785439332999,0.238911205703953
"1123","blackmail","98e6ee7cd50ab287",1,0.29547892,1,0,0,1,1,1,1,"98e6ee7cd50ab287",0,0,0,0,0,0,0.12491582,0.29547892,0.21019737,0.42039474,0,0
"1124","blackmail","f34d10cc75d69bdb",5,0.40690057,5,0,1105070,1,5,5,5,"f34d10cc75d69bdb",0,0,0,0,0,0,4.256e-05,0.14819,0.042280177,0.42280177,0.063368731110511,0.00401559608255625
"1125","blackmail","ec9721448b0443f9",1,0.28056615,1,0,0,1,1,1,1,"ec9721448b0443f9",0,0,0,0,0,0,0.28056615,0.28056615,0.28056615,0.28056615,0,0
"1126","blackmail","6763176bdac16b4d",2,0.25814675,2,0,64082,1,2,2,2,"6763176bdac16b4d",0,0,0,0,0,0,0.0020594,0.22427925,0.066240518,0.26496207,0.106338805719498,0.0113079416018492
"1127","blackmail","5df329051e4754ea",2,0.24748938,2,0,245764,1,2,2,2,"5df329051e4754ea",0,0,0,0,0,0,0.00013651,0.23447099,0.062619813,0.25047925,0.114701526083863,0.0131564400859671
"1128","blackmail","c8c3ea669ad9df5a",1,0.15,1,0,0,1,1,1,1,"c8c3ea669ad9df5a",0,0,0,0,0,0,0.00055625,28.24736142,1.29725931,28.53970483,0,0
