,Address,Total_Rec,Total_Sent,Balance,N_TX,N_Rec,N_Sent,Avg_Rec,Min_Rec,Max_Rec,Avg_Sent,Min_Sent,Max_Sent,Time_Between_FirstLast,Avg_Delta_Rec,Min_Delta_Rec,Max_Delta_Rec,Avg_Delta_Sent,Min_Delta_Sent,Max_Delta_Sent,Unique_Rec,Unique_Sent,Month,Class
2236,bc1q7eqlctmdrfqrx6p02dx66vtnmt9gxa8nwtzl5h,6900931,4891876,2009055,6,4,2,1725232.75,289000,4600000,2445938.0,291876,4600000,32432156,10810718.666666666,2878153,18652949,0.0,0,0,7,76,,1
2237,19k1M7Ex4bcPZYKRwo2vG3oF92SjdbmBpb,100000,100000,0,2,1,1,100000.0,100000,100000,100000.0,100000,100000,30352,0.0,0,0,0.0,0,0,22,17,,0
2238,3Jy2TxR8qA3athApvL6Z85RyFS1Z5LtZuV,191743,191743,0,2,1,1,191743.0,191743,191743,191743.0,191743,191743,706,0.0,0,0,0.0,0,0,1,32,,0
2239,1JqqCaSoAYwAL52LNtwjsG6LcwAHexEyXP,4260735,4260735,0,6,3,3,1420245.0,1014000,2157000,1420245.0,1014000,2157000,1490011,683425.0,662,1366188,715728.0,306033,1125423,4,115,,1
2240,1Vv7yin8xfBE56hNBoLEGiQKykr7Q88da,1324700,1324700,0,2,1,1,1324700.0,1324700,1324700,1324700.0,1324700,1324700,2298,0.0,0,0,0.0,0,0,1,2,,0
2241,19tkTLpnAKCZhD7gTG3Y2tRxZwwxRC95yz,8306282,8306282,0,2,1,1,8306282.0,8306282,8306282,8306282.0,8306282,8306282,103376,0.0,0,0,0.0,0,0,1,2,,0
2242,bc1q4zp99swflzqfactgkywhyft7rzanml2q4wvvdd,396337,396337,0,2,1,1,396337.0,396337,396337,396337.0,396337,396337,0,0.0,0,0,0.0,0,0,6,66,,0
2243,3PrE4roLemHb4zD1vJkeXE8edMyGHC47Yb,377211370655,377211370655,0,8946,99,100,10509933.828282828,264974,30000000,10453653.4,264974,30000000,595389,5645.418367346939,43,44825,6014.030303030303,0,44825,226,302,,0
2244,bc1qkq9ptgwjea6ws7gqyc5crazgvf4w2mempqw59k,7579301749,7579301749,0,2542,51,51,5163723.490196078,430759,17205538,5163723.490196078,430759,17205538,866735,17277.82,0,92742,17315.22,0,87342,25,101,,0
2245,bc1qclf9rujqf2dxnvfhqxdpyjw9342l9m57g6w8td,1293781,1293781,0,4,2,2,646890.5,402069,891712,646890.5,402069,891712,5242207,0.0,0,0,0.0,0,0,2,4,,1
2246,3FAFqws77tdEKhGYYftLtAA9bqzKvAg181,3689393604,3689393604,0,1238,56,60,1603360.0535714286,680,16829896,1507648.5166666666,680,16829896,41779376,751580.9090909091,0,6670308,705302.779661017,0,7234902,307,7138,,0
2247,1EJ9sL5jUmRfC8AYGS3NcdE5ymR79F5XCv,79982683,79982683,0,2,1,1,79982683.0,79982683,79982683,79982683.0,79982683,79982683,23893870,0.0,0,0,0.0,0,0,1,3,,0
2248,bc1qetdp4yfuhtjltctfu6lm8ck8j4r5knsxepg05e,1283485,1283485,0,2,1,1,1283485.0,1283485,1283485,1283485.0,1283485,1283485,748976,0.0,0,0,0.0,0,0,1,3,,0
2249,bc1qwv84d76gda984zz9mlqas5zjl5deuma2x85aqu,686715759805,686445677156,270082649,48484,99,82,5425951.565656566,48634,30695702,6507899.3292682925,48634,30695702,447304,4564.326530612245,47,35216,5522.271604938272,0,51303,126,64,,0
2250,17Km7Vd5sJEE8yMFQxjLxuDubNSmaZmbA2,39128471,39128471,0,295,1,113,0.0,0,0,193510.0,12910,394166,23901576,0.0,0,0,213406.92857142858,0,3197670,30218,4,,0
2251,bc1q035l8txt02cxg89zg32uv6jw9dzd6yz83rq0el,84729,84729,0,3,2,2,42364.5,4729,80000,42364.5,4729,80000,2510631,0.0,0,0,0.0,0,0,2,50,,1
2252,bc1qqz5g8ragad0pgrx9yc4uj0pr6wpl8uzl0xlrzg,1772037,1742676,29361,23,23,20,77045.08695652174,6907,433000,87133.8,12282,433000,8188555,372207.04545454547,746,2185261,301896.36842105264,0,1659130,43,186,,1
