,Address,Total_Rec,Total_Sent,Balance,N_TX,N_Rec,N_Sent,Avg_Rec,Min_Rec,Max_Rec,Avg_Sent,Min_Sent,Max_Sent,Time_Between_FirstLast,Avg_Delta_Rec,Min_Delta_Rec,Max_Delta_Rec,Avg_Delta_Sent,Min_Delta_Sent,Max_Delta_Sent,Unique_Rec,Unique_Sent,Month
48,bc1qjjrpnfvpm4ahd7awx5av4hhhht8yrltf9f26zv,50255,50255,0,2,1,1,50255.0,50255,50255,50255.0,50255,50255,0,0.0,0,0,0.0,0,0,8,3,1
49,1FonXyNQ2mn6fiXCCwts8VVhs96Z1Xa23o,6438820,6438820,0,71,37,37,174022.16216216216,56000,1274254,174022.16216216216,56000,1274254,37948230,1053620.0277777778,159,8465314,1054105.5,0,8465052,79,1639,1
50,bc1qkqca0df5vnq05pydntw8dtuzfps99z7hsslveq,49386518,49386518,0,29,23,23,2147239.913043478,10596,4921445,2147239.913043478,10596,4921445,8754749,391068.7272727273,6912,1295342,361799.45454545453,0,2878802,35,877,1
51,39dk7jM6HzQ8aYr8CwC4XSTNke8kXDJaQY,31383925889945,31383925170545,719400,126268,97,123,258150183.02061856,1757,1000000000,219949798.86178863,547,1000000000,11955179,124533.11458333333,0,6050266,2458.122950819672,0,254205,99,453,1
52,bc1qu3ajr9fkknav7g90suzlc62duhs5x6vrlhye22,1150000,1150000,0,2,1,1,1150000.0,1150000,1150000,1150000.0,1150000,1150000,38388,0.0,0,0,0.0,0,0,1,2,1
53,3CmD8PaZc8vapx5jM6j3x5mjPUxXCq6Hdc,15785,15785,0,2,1,1,15785.0,15785,15785,15785.0,15785,15785,62456,0.0,0,0,0.0,0,0,2,2,1
54,34yTYo7yfL1Vq9Xzc5CY3uECaVBAvqA2ye,285124,285124,0,2,1,1,285124.0,285124,285124,285124.0,285124,285124,106,0.0,0,0,0.0,0,0,22,91,1
55,bc1qsrufmzugpvxmk899pwgmsg3qm5uxv6g6d9uhtl,2705823,2705823,0,2,1,1,2705823.0,2705823,2705823,2705823.0,2705823,2705823,2829,0.0,0,0,0.0,0,0,1,2,1
56,31su61cYj2ffNUuwRY7dWgubMLtbwCmHYa,2661114,2661114,0,156,91,102,19046.384615384617,2745,43965,19855.950980392157,2745,43965,6850870,74464.42222222222,0,888525,64968.44554455446,0,1221712,161,6039,1
57,bc1qt80tkjx0aqnr44uhxvqkt7crjyv8h6xgsjfrq9,17753519186,17753519186,0,170,50,50,242900000.0,75000000,340000000,242900000.0,75000000,340000000,4236918,86386.32653061225,84682,88908,86393.73469387754,80124,94745,54,5838,1
58,1KPAWzeatrSMJfqWr9GNPNQasPSwj8tUFx,119808743,119808196,547,305,66,68,688338.6818181818,41474,5267403,670473.9264705882,41474,5267403,24725670,375052.9846153846,0,9188583,358704.77611940296,0,8841765,2160,2145,1
59,bc1qng5e423uf0aw3jnfs5av5c9gnrvx5aj5nq6xsh,15749,15749,0,2,1,1,15749.0,15749,15749,15749.0,15749,15749,5303,0.0,0,0,0.0,0,0,1,3,1
60,bc1q94q0yamzgsdz03vz00pnumkm54cmf6kd8rs6ee,502018,502018,0,2,1,1,502018.0,502018,502018,502018.0,502018,502018,78966,0.0,0,0,0.0,0,0,2,3,1
61,1pZ6yTDhpayCoigcg3RZTwRaQZXbsbj4V,1258448408,1258448408,0,1154,62,72,625161.2903225806,100000,2190000,575530.4444444445,98192,2190000,15843329,244901.4262295082,0,4313746,222058.57746478874,0,4497820,8246,309,1
62,3J4V7Voyo9ML6mPEqy4aRLvAwH4gmyAcFo,425860,425860,0,2,1,1,425860.0,425860,425860,425860.0,425860,425860,88089,0.0,0,0,0.0,0,0,490,2,1
63,32N231QTGbdJ9jcwsV3ZdDZJyQ33rN1JR8,16004011,16004011,0,20,11,11,1454910.0909090908,232560,4494382,1454910.0909090908,232560,4494382,27893008,2785793.8,439073,15102063,2680737.6,0,15119938,655,3290,1
64,bc1q6vaznawkkkz9xlnmfxjjdn2t9ezmmmcwmm08sj,7438954,7438954,0,30,15,15,495930.26666666666,76249,1250000,495930.26666666666,76249,1250000,20762257,1482690.5714285714,10780,12463984,1482244.5,40325,12447250,17,241,1
65,bc1qd79xxpumgx458acxxt5huqulxvgj96humzx4hahj48fvda9etlkskps0a4,510473619,510473619,0,2,1,1,510473619.0,510473619,510473619,510473619.0,510473619,510473619,52986,0.0,0,0,0.0,0,0,1,3,1
66,bc1qfcw3wqr67vg25kng2myv4q22jdrpvcljhsakd7,235934754,235934754,0,200,54,54,1876920.8148148148,66390,5864081,1876920.8148148148,66390,5864081,10036747,189171.35849056602,54,1025656,189189.49056603774,0,1017164,148,216,1
67,bc1qc65qhedwykgjd2jrnpmcr9hzk84jypuk4vm087,19903416,19903416,0,2,1,1,19903416.0,19903416,19903416,19903416.0,19903416,19903416,1021804,0.0,0,0,0.0,0,0,1,3,1
68,bc1qjy7fn2kpqvu5xjm4luplqjus2fujm5q24u84lk,4958379,4958379,0,2,1,1,4958379.0,4958379,4958379,4958379.0,4958379,4958379,42750,0.0,0,0,0.0,0,0,1,3,1
69,19FaTdt86favhhvVGG3ciMgfb1jNpwKsP9,1636,1636,0,2,1,1,1636.0,1636,1636,1636.0,1636,1636,37470032,0.0,0,0,0.0,0,0,2,2,1
70,1DRpqhVo8dX782vN7YqjrV8SgZhLKvwtuP,36111126,36111126,0,93,87,87,415070.4137931034,1850,2219509,415070.4137931034,1850,2219509,20201939,234673.39534883722,1158,5508733,233268.3488372093,0,5418226,32,1155,1
71,bc1qnhpdpp20k4ulehjkrqrv3jaz8e7pw0y8m8c4h6,25000000,25000000,0,2,1,1,25000000.0,25000000,25000000,25000000.0,25000000,25000000,3120209,0.0,0,0,0.0,0,0,1,3,1
72,bc1qgxvvkk027qlpnaj3nkgefnkqd9ztavwxjgr58t,188927333,188927333,0,233,68,68,1971412.75,3634,22064819,1971412.75,3634,22064819,23349978,348299.2686567164,0,4659175,348435.7910447761,0,4666145,53,669,1
73,3KNnsrXxGumCUcGfA8nX2ZxDZCB8ogwmTm,4269951,4269951,0,3,2,2,2134975.5,950000,3319951,2134975.5,950000,3319951,4008,0.0,0,0,0.0,0,0,114,1,1
74,37YcfNiEdRbi4PAYVRuceBkxLiQYoy5B8B,1000000,1000000,0,2,1,1,1000000.0,1000000,1000000,1000000.0,1000000,1000000,495,0.0,0,0,0.0,0,0,4,2,1
75,bc1qxngkprte6wm5llkwr8pyphsc3fwqta4zcwgcv8,3163042,3163042,0,2,1,1,3163042.0,3163042,3163042,3163042.0,3163042,3163042,83372,0.0,0,0,0.0,0,0,1,3,1
76,bc1qfg0ukvlv22j9kdfaarjtha3arv9q7k42pthv97,41657835,41152855,504980,96,58,55,718238.5344827586,10225,4048000,748233.7272727273,10225,4048000,51291253,899846.5438596491,0,4485849,938318.5555555555,0,5920854,80,686,1
77,15JXPPtVqwnnrEi6DHUdyRGTFphF486gX8,123111,123111,0,2,1,1,123111.0,123111,123111,123111.0,123111,123111,30417,0.0,0,0,0.0,0,0,2,115,1
78,bc1qnxqxvzedsl9dears8tdk5mwkdxzjftslyxg5wh,1158717,1158717,0,2,1,1,1158717.0,1158717,1158717,1158717.0,1158717,1158717,40558,0.0,0,0,0.0,0,0,3,3,1
79,3PLqAHaP4brJ3M4ERgx3n1TKXRBBZYADW8,329644733,329644733,0,4230,56,57,311236.16071428574,20000,1984300,307530.2631578947,20000,1984300,16474867,299005.36363636365,22,1740425,294194.0535714286,0,1738794,41354,54,1
80,36XWTfSYJJz3WSNPZVZ3q3aa5eFuJHR9nu,8147951626873,8147951626873,0,255802,61,121,51907678.37704918,896584,1999999651,469674106.9752066,896584,3682999437,12543698,43463.75,0,2594784,104528.68333333333,0,3021318,820,1171,1
81,3HAdezsyUFtLoShK7qNZBFTU1deJzxoacu,229400,229400,0,2,1,1,229400.0,229400,229400,229400.0,229400,229400,93290,0.0,0,0,0.0,0,0,264,3,1
82,39NHqqxE7aAfpAVScNktQtxS3QCX65yfQE,10658200,10658200,0,2,1,1,10658200.0,10658200,10658200,10658200.0,10658200,10658200,171,0.0,0,0,0.0,0,0,2,43,1
83,bc1qkz60y4990j9fftspdqy0nn5xprfhuu8zlz0grp7yruvktrzgp6pq2us68j,123220,0,123220,1,1,1,123220.0,123220,123220,0.0,0,0,0,0.0,0,0,0.0,0,0,1,1,1
84,bc1qk5m0frj9agrcf2snxdtgkmvspgvwn63e8s54vn,15425021,15425021,0,2,1,1,15425021.0,15425021,15425021,15425021.0,15425021,15425021,1802,0.0,0,0,0.0,0,0,2,1,1
85,bc1qq4mjva2cjmqdgvaqutleg6mhzgpsxme0mrukuc,433558,433558,0,6,3,3,144519.33333333334,49106,211278,144519.33333333334,49106,211278,16728566,8360441.5,578474,16142409,8329818.0,585463,16074173,2,5,1
86,3ENAibjyaYeon5wCimTUjmTvpyn4s4gQL5,35418625,35418625,0,2,1,1,35418625.0,35418625,35418625,35418625.0,35418625,35418625,1620,0.0,0,0,0.0,0,0,25,2,1
87,17yuVw2MDSHAQW5jnmkfoJTWXSYusYYLVR,16556000,16552139,3861,167,98,104,117138.76530612246,748,373600,111104.08653846153,647,373600,11175497,115211.30927835051,0,4068995,108499.97087378641,0,4241923,15,104,1
88,bc1q36z3j46s0vhx4frcqfc5j5rwy6vhqq95z988q9ccdczaetws8cgsljrzj3,9617674,9617674,0,2,1,1,9617674.0,9617674,9617674,9617674.0,9617674,9617674,3532,0.0,0,0,0.0,0,0,1,3,1
89,34MEcdW6VLaZLxuuz8Xvczu91nveG8hjmX,250900,250900,0,5,3,3,83633.33333333333,35000,142000,83633.33333333333,35000,142000,2972213,722954.0,255109,1190799,1485198.5,0,2970397,13,6,1
90,bc1q3hkjkulgd9cyf7evgt0p2pyxne4y4rhl865djf,1292,1292,0,2,1,1,1292.0,1292,1292,1292.0,1292,1292,10293960,0.0,0,0,0.0,0,0,2,2,1
91,3Kxu8MkTNK1HQ1eLEsxnX4LT5SD8AKotza,92806392,92806392,0,292,52,57,307392.1538461539,30332,3756000,324989.3333333333,30332,3756000,26081284,510140.6274509804,3299,11375337,465737.21428571426,0,11303845,5497,1773,1
92,37kCE3ppz152j19d9Uzth2fUmmpc8cNHdf,76497228,76497228,0,6,3,3,25499076.0,3497723,48911166,25499076.0,3497723,48911166,538437,260652.5,160838,360467,263773.0,152086,375460,195,29,1
93,bc1qntahx42feulq2rt08dtdjfqz2rmpgkhpqww4zr,116173,116173,0,2,1,1,116173.0,116173,116173,116173.0,116173,116173,0,0.0,0,0,0.0,0,0,1,3,1
94,bc1qvgztt40ttsxn84sq9lnhw7d2hjdkvc3mh07sz55q4keyvc7gz3dsh8cq0c,18631291,0,18631291,1,1,1,18631291.0,18631291,18631291,0.0,0,0,0,0.0,0,0,0.0,0,0,1,1,1
95,bc1qq2z53r4ps5403xh3dha6zfpc6473dke4f757q2,1050702762,1050702762,0,2,1,1,1050702762.0,1050702762,1050702762,1050702762.0,1050702762,1050702762,0,0.0,0,0,0.0,0,0,1,4,1
96,bc1qyc9ujyacr2rkec98q9wqafh7jsedn25t47s0d97zdeqya7qjwpes30at6q,527400,527400,0,2,1,1,527400.0,527400,527400,527400.0,527400,527400,182,0.0,0,0,0.0,0,0,1,2,1
97,3HhtANWquocfskUWxQx2PT8omANh7LNFAV,112564390,108658841,3905549,3904,87,73,26444.402298850575,2500,50000,24403.054794520547,20000,50000,2420684,17221.74418604651,413,120390,33620.61111111111,0,2174069,6734,137,1
98,3HAihngNAec38uLNXMArvFHKgEbzV76mpt,4326972,4326972,0,2,1,1,4326972.0,4326972,4326972,4326972.0,4326972,4326972,1393,0.0,0,0,0.0,0,0,250,1,1
99,16LxKPZETAcNn5oN7wAHTEYaqTQ7aAWJHJ,258465,258465,0,2,1,1,258465.0,258465,258465,258465.0,258465,258465,1682,0.0,0,0,0.0,0,0,2,1,1
100,bc1qdfc8f2zgz44dhf3mzyk3vhz7nm7v9lly5nulal,34514800,34514800,0,286,63,74,257349.2857142857,23183,2859911,228029.7027027027,22923,2859911,695370,8647.548387096775,0,54308,9525.616438356165,0,137831,92,1540,1
101,38W7YWF8VAtdbtU4Gvth2w7s4MtRzwGkUd,1016664,1016664,0,6,3,3,338888.0,31566,881993,338888.0,31566,881993,18347176,3485224.0,3276269,3694179,8555349.0,3732247,13378451,504,2981,1
102,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,3886621726954206,3881125078825798,5496648128408,803388,149,42,1966470895.6845639,16281,264699964534,1034490378.2857143,101639626,10480256482,4751,32.101351351351354,0,192,111.85365853658537,55,221,3002,1556,1
103,3Mqsa5hRuboaht76RvYRSDzRjzc3Na4ekk,26000,26000,0,2,1,1,26000.0,26000,26000,26000.0,26000,26000,11258,0.0,0,0,0.0,0,0,420,2,1
104,bc1q8etkasrncclpqq4fr5pynvgw5zhakc0zme8023,543867,543867,0,2,1,1,543867.0,543867,543867,543867.0,543867,543867,18309,0.0,0,0,0.0,0,0,1,7,1
105,363MdjC5YHRvsvdxKr2WhevwqM8Rrqn2Ew,835505,835505,0,2,1,1,835505.0,835505,835505,835505.0,835505,835505,205878,0.0,0,0,0.0,0,0,1,3,1
106,14FgPi721HyLnDehbrovvk1nRrc9GBgC7o,159717926,159717926,0,44,22,22,7259905.7272727275,827729,17721632,7259905.7272727275,827729,17721632,30357481,1445231.9047619049,14643,8887180,1440301.5714285714,14385,8918346,2815,33,1
107,bc1q8ehmyt9tgc8kx0a5rxqhdt54qv3k8mhq7txagk,1134716,1134716,0,2,1,1,1134716.0,1134716,1134716,1134716.0,1134716,1134716,89982,0.0,0,0,0.0,0,0,1,3,1
108,12svq1vtvn2KQJL25rM3FnEnCW4wed6dAo,12135614036,12135614036,0,6100,58,63,2111124.9655172415,10572,13208765,1992212.142857143,2136,13208765,2195391,22959.59649122807,268,97369,35409.532258064515,0,856760,1236,427,1
109,bc1qaeuwaze2tftvsfkwayjm2etfz8ke27fhzeydl9,2688434,2688434,0,13,7,7,384062.0,60000,1802108,384062.0,60000,1802108,12577419,2095826.3333333333,0,9218471,2093309.0,0,9219282,2,259,1
110,bc1qgm8mers7cdegmdppav8njm8ruflgk0f9wg0vtd,384368,384368,0,2,1,1,384368.0,384368,384368,384368.0,384368,384368,533,0.0,0,0,0.0,0,0,1,1,1
111,bc1qvzu4vs88tgswtd43359sl723mm4jplm7a2kpxr,14590265,14590265,0,2,1,1,14590265.0,14590265,14590265,14590265.0,14590265,14590265,0,0.0,0,0,0.0,0,0,1,3,1
